CUI,Category,NER_F1,Complexity,Mentions,Alert_Rate
C1850631...,Top-5,0.9007336435560618,3.0,1,1.0
C4687617...,Top-5,0.8996854119935381,1.0,1,1.0
C4020914...,Top-5,0.8995780001641256,3.0,1,1.0
C4329264...,Top-5,0.8970985890917371,3.0,1,1.0
C4760764...,Top-5,0.8966617696270618,2.0,1,1.0
C1560279...,Bottom-5,0.6709858396031453,9.0,1,1.0
C4330613...,Bottom-5,0.6796308658885662,10.0,2,0.5
C1559731...,Bottom-5,0.6799560748230791,14.0,2,0.5
C2981995...,Bottom-5,0.6817002463983381,14.0,1,1.0
C4331331...,Bottom-5,0.6884000067187097,17.0,1,1.0
